location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Austria;2020-06;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-09;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0.677419355;"261890;3941010;4348337;261890;4348337;261890;3941010;4348337;261890;4348337;3941010";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"261890;3941010;4348337;261890;3941010;4348337;261890;261890;3941010;4348337;261890;4348337";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0.709677419;";261890;3941010;261890;3941010;4348337";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-06;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766;7623665;1073766;1073766;2283285";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0.709677419;";7623665";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;7623665;1073766;7623665;1073766;1073766";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
